=== PERDAS POR ORDENS PERDIDAS - processos_t2_e1_run1.log ===
Data: 2025-08-05 23:20:27

MÉTRICA,VALOR,UNIDADE,DESCRIÇÃO
Total de Ordens Rejeitadas,0,ordens,Número de ordens rejeitadas
Valor Total Perdido,R$ 0,reais,Valor total das ordens perdidas
Valor Médio por Ordem,R$ 0,reais,Valor médio por ordem rejeitada
Perda por Hora,R$ 0,reais/hora,Projeção por hora
Perda por Dia,R$ 0,reais/dia,Projeção por dia (8h)
Perda por Mês,R$ 0,reais/mês,Projeção por mês (22 dias)
