=== ANÁLISE DE PREÇOS - processos_t2_e1_run1.log ===
Data: 2025-08-05 23:13:05

AÇÃO,PREÇO_INICIAL,PREÇO_FINAL,VARIAÇÃO_PERCENTUAL,STATUS_ECONÔMICO
