=== PERDAS POR CORRUPÇÃO DE PREÇOS - threads_t2_e1_run2.log ===
Data: 2025-08-05 23:20:28

MÉTRICA,VALOR,UNIDADE,DESCRIÇÃO
Total de Variações,12,variações,Número de variações de preço analisadas
Perda Total,R$ 1553009.31,reais,Perda total por corrupção de preços
Perda Média,R$ 129417.44,reais,Perda média por variação
Perda por Hora,R$ 186361117.20,reais/hora,Projeção por hora
Perda por Dia,R$ 1490888937.60,reais/dia,Projeção por dia (8h)
Perda por Mês,R$ 32799556627.20,reais/mês,Projeção por mês (22 dias)
