=== RACE CONDITION LOG - EXECUÇÃO 0 ===
Iniciado em: 2025-08-05 22:29:00.000000
Formato: Timestamp | Thread | Operação | Tipo | ID | Valor_Antigo | Valor_Novo | Detalhes
2025-08-05 22:29:01.080701 | Thread_4 | READ_VOLUME | VOLUME | 1 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.081491 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 5.00 | 5.00 | Leitura do contador global
2025-08-05 22:29:01.121754 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 5.00 | 6.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.130286 | Thread_1 | WRITE_QUANTIDADE | VOLUME | 3 | 0.00 | 102.00 | Atualização de quantidade
2025-08-05 22:29:01.130355 | Thread_2 | WRITE_QUANTIDADE | VOLUME | 3 | 0.00 | 103.00 | Atualização de quantidade
2025-08-05 22:29:01.130383 | Thread_0 | WRITE_QUANTIDADE | VOLUME | 3 | 0.00 | 101.00 | Atualização de quantidade
2025-08-05 22:29:01.140858 | Thread_3 | WRITE_VOLUME | VOLUME | 1 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.141018 | Thread_4 | WRITE_VOLUME | VOLUME | 1 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.141914 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 6.00 | 6.00 | Leitura do contador global
2025-08-05 22:29:01.171050 | Thread_3 | WRITE_OPERACOES | CONTADOR | 1 | 0.00 | 1.00 | Incremento de operações
2025-08-05 22:29:01.171218 | Thread_4 | WRITE_OPERACOES | CONTADOR | 1 | 1.00 | 2.00 | Incremento de operações
2025-08-05 22:29:01.180427 | Thread_1 | WRITE_TIPO | TIPO | 3 | 78.00 | 86.00 | Atualização de tipo
2025-08-05 22:29:01.180530 | Thread_2 | WRITE_TIPO | TIPO | 3 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.180615 | Thread_0 | WRITE_TIPO | TIPO | 3 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.182110 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 6.00 | 7.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.201250 | Thread_3 | READ_PRECO | PRECO | 2 | 12.00 | 12.00 | Leitura de preço para modificação
2025-08-05 22:29:01.201315 | Thread_4 | READ_PRECO | PRECO | 2 | 12.00 | 12.00 | Leitura de preço para modificação
2025-08-05 22:29:01.202343 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 7.00 | 7.00 | Leitura do contador global
2025-08-05 22:29:01.230588 | Thread_1 | WRITE_INDICE | CONTADOR | 0 | 3.00 | 4.00 | Incremento de índice
2025-08-05 22:29:01.230659 | Thread_2 | WRITE_INDICE | CONTADOR | 0 | 4.00 | 5.00 | Incremento de índice
2025-08-05 22:29:01.230762 | Thread_0 | WRITE_INDICE | CONTADOR | 0 | 5.00 | 6.00 | Incremento de índice
2025-08-05 22:29:01.242514 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 7.00 | 8.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.261440 | Thread_3 | WRITE_PRECO | PRECO | 2 | 12.00 | 12.10 | Escrita de preço modificado
2025-08-05 22:29:01.261647 | Thread_4 | WRITE_PRECO | PRECO | 2 | 12.00 | 12.10 | Escrita de preço modificado
2025-08-05 22:29:01.262680 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 8.00 | 8.00 | Leitura do contador global
2025-08-05 22:29:01.280747 | Thread_1 | WRITE_ARRAY | ORDEM | 6 | 6.00 | 1002.00 | Escrita na posição do array
2025-08-05 22:29:01.280842 | Thread_2 | WRITE_ARRAY | ORDEM | 6 | 6.00 | 2002.00 | Escrita na posição do array
2025-08-05 22:29:01.280883 | Thread_0 | WRITE_ARRAY | ORDEM | 6 | 2002.00 | 2.00 | Escrita na posição do array
2025-08-05 22:29:01.291633 | Thread_3 | READ_VOLUME | VOLUME | 2 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.291755 | Thread_4 | READ_VOLUME | VOLUME | 2 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.302906 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 8.00 | 9.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.323031 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 9.00 | 9.00 | Leitura do contador global
2025-08-05 22:29:01.330899 | Thread_1 | WRITE_PRECO | PRECO | 6 | 0.00 | 10.12 | Atualização de preço
2025-08-05 22:29:01.331016 | Thread_2 | WRITE_PRECO | PRECO | 6 | 0.00 | 10.22 | Atualização de preço
2025-08-05 22:29:01.331049 | Thread_0 | WRITE_PRECO | PRECO | 6 | 0.00 | 10.02 | Atualização de preço
2025-08-05 22:29:01.351798 | Thread_3 | WRITE_VOLUME | VOLUME | 2 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.351931 | Thread_4 | WRITE_VOLUME | VOLUME | 2 | 1010.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.363155 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 9.00 | 10.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.381103 | Thread_2 | WRITE_QUANTIDADE | VOLUME | 6 | 0.00 | 104.00 | Atualização de quantidade
2025-08-05 22:29:01.381183 | Thread_1 | WRITE_QUANTIDADE | VOLUME | 6 | 0.00 | 103.00 | Atualização de quantidade
2025-08-05 22:29:01.381226 | Thread_0 | WRITE_QUANTIDADE | VOLUME | 6 | 0.00 | 102.00 | Atualização de quantidade
2025-08-05 22:29:01.381933 | Thread_3 | WRITE_OPERACOES | CONTADOR | 2 | 0.00 | 1.00 | Incremento de operações
2025-08-05 22:29:01.382035 | Thread_4 | WRITE_OPERACOES | CONTADOR | 2 | 1.00 | 2.00 | Incremento de operações
2025-08-05 22:29:01.383299 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 10.00 | 10.00 | Leitura do contador global
2025-08-05 22:29:01.412100 | Thread_3 | READ_PRECO | PRECO | 3 | 13.00 | 13.00 | Leitura de preço para modificação
2025-08-05 22:29:01.412174 | Thread_4 | READ_PRECO | PRECO | 3 | 13.00 | 13.00 | Leitura de preço para modificação
2025-08-05 22:29:01.423486 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 10.00 | 11.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.431244 | Thread_2 | WRITE_TIPO | TIPO | 6 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.431320 | Thread_1 | WRITE_TIPO | TIPO | 6 | 78.00 | 86.00 | Atualização de tipo
2025-08-05 22:29:01.431358 | Thread_0 | WRITE_TIPO | TIPO | 6 | 78.00 | 67.00 | Atualização de tipo
2025-08-05 22:29:01.443646 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 11.00 | 11.00 | Leitura do contador global
2025-08-05 22:29:01.472296 | Thread_3 | WRITE_PRECO | PRECO | 3 | 13.00 | 13.10 | Escrita de preço modificado
2025-08-05 22:29:01.472445 | Thread_4 | WRITE_PRECO | PRECO | 3 | 13.00 | 13.10 | Escrita de preço modificado
2025-08-05 22:29:01.481382 | Thread_2 | WRITE_INDICE | CONTADOR | 0 | 6.00 | 7.00 | Incremento de índice
2025-08-05 22:29:01.481448 | Thread_0 | WRITE_INDICE | CONTADOR | 0 | 7.00 | 8.00 | Incremento de índice
2025-08-05 22:29:01.481478 | Thread_1 | WRITE_INDICE | CONTADOR | 0 | 6.00 | 7.00 | Incremento de índice
2025-08-05 22:29:01.483888 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 11.00 | 12.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.502479 | Thread_3 | READ_VOLUME | VOLUME | 3 | 1000.00 | 1000.00 | Leitura de volume para modificação
2025-08-05 22:29:01.502553 | Thread_4 | READ_VOLUME | VOLUME | 3 | 1000.00 | 1000.00 | Leitura de volume para modificação
